year,faculty,plan_code,plan_code_raw,programme_code,dept_code,degree_name,degree_abbrev,specialisation,variant,source_page,notes
2025,COM,CB015CSC05,,CB015,CSC05,Bachelor of Business Science,BBusSc,Computer Science,extended,76,** One of these options may be replaced by an elective from another department (with approval of | the Computer Science Honours convenor). Not all electives will be offered each year. | Places may be limited. Students who do not qualify for admission to 4th year Computer Science | courses will be required to change their specialisation or degree in consultation with the Head of | Department and the Deputy Dean Undergraduate Studies of Commerce. | Bachelor of Business Science specialising in INFORMATION SYSTEMS
2025,COM,CB015INF01,,CB015,INF01,Bachelor of Business Science,BBusSc,Information Systems,extended,77,"ML1004S Business Law I……………………………………………………18 5 | * Students who complete CSC1015F can complete CSC1016S in first year in substitution for | INF1003F in second year. | Unless otherwise agreed by the Head of Department, candidates will be expected to obtain an overall | credit weighted average of 65% for their third year Information Systems major courses and at least | 55% for each course. to be considered for a place in the 4th year Information System courses. Places | may be limited. Students who do not qualify for 4th year Information Systems courses will be required | to change their specialisation or degree in consultation with the Head of Department. | Bachelor of Business Science specialising in ECONOMICS"
2025,COM,CB015ECO01,,CB015,ECO01,Bachelor of Business Science,BBusSc,Economics,extended,79,"addition to BUS4050H***. ............................................................. | * Students wishing to register for MAM2010F, MAM2011F, MAM2012S, MAM2013S, MAM2014S | after completing MAM1010F/S and MAM1012F/S must obtain permission from the Convenor in the | Mathematics Department. | ** Students who take STA3022 cannot take STA3000 level courses and must, therefore, take | FTX2024 | *** Students have an option to choose three electives. | As a rule, a 65% average for 3rd year Economics courses and at least 60% for ECO3020F, ECO3021S | and another 3rd year level economics establishes the right to be considered for a place in the | Economics 4th year class. Students who obtain less than 50% for ECO4112F will not be allowed to | continue with the programme. Students who do not qualify for admission to the 4th year Economics | courses or who have obtained less than 50% in ECO4112F will be required to change their | specialisation or degree in consultation with the Head of Department. Subject to the approval of the | Graduate Convener, students may substitute a maximum of one of the options with an NQF level 8 | course of a similar credit value offered in another department. Students’ may carry one semester | course to the honours year (only F or S. Students will not be allowed to carry any H or W courses). | Bachelor of Business Science specialising in ECONOMICS with LAW*"
2025,COM,CB015ECO03,,CB015,ECO03,Bachelor of Business Science,BBusSc,Economics with Law,extended,80,"*See section ""Entrance to the Legal Profession"" elsewhere in this handbook. | addition to BUS4050H**. ............................................................... | *Places on the Law Courses in the 2nd and 3rd year are limited. To be eligible for consideration for a | possible (but not guaranteed) place, students wishing to apply to take Law courses in 2nd and 3rd year | need to fulfil all the requirements set out in Promotion Rule for Law degrees. | **Students have an option to choose three electives. | (i) As a rule, a 65% average for 3rd year Economics courses and at least 60% for ECO3020F, | ECO3021S and another 3rd year level economics establishes the right to be considered for a place in | the Economics 4th year class. Students who obtain less than 50% for ECO4112F will not be allowed | to continue with the programme. | Students who do not qualify for admission to the 4th year Economics courses or who have obtained | less than 50% in ECO4112F will be required to change their specialisation or degree in consultation | with the Head of Department. | (ii) CB004 readmission rules apply to CB024, however if you fail 2 courses in the first semester of | the first year, your registration will be changed to the extended version (CB015ECO03). Subject to | the approval of the Graduate Convener, students may substitute a maximum of one of the options with | an NQF level 8 course of a similar credit value offered in another department. Students may carry one | semester course to the honours year (only F or S. Students will not be allowed to carry any H or W | courses). | (iii) The pre-requisites for registering for the PVL courses are receipt of confirmation of place on those | courses and fulfilment of all the requirements set out in Promotion Rule. | Bachelor of Business Science specialising in MARKETING"
2025,COM,CB015BUS07,,CB015,BUS07,Bachelor of Business Science,BBusSc,Marketing,extended,82,"As a rule, at least a 65% average across all 3rd year Marketing courses establishes a right to be | considered for a place in Marketing 4th year. Students who do not qualify for admission to the 4th year | will be required to change their specialisation or degree in consultation with the Head of the School | of Management Studies. | Bachelor of Business Science specialising in ORGANISATIONAL PSYCHOLOGY"
2025,COM,CB015BUS08,,CB015,BUS08,Bachelor of Business Science,BBusSc,Organisational Psychology,extended,84,"As a rule, at least a 65% average in 3rd year Organisational Psychology is required for admission to | the Organisational Psychology 4th year. In exceptional circumstances, students may apply to the Head | of Section for a concession to this rule. Students who are not admitted to the Organisational | Psychology 4th year will be required to change their specialisation or degree in consultation with the | Head of the School of Management Studies. | Bachelor of Commerce in ACTUARIAL SCIENCE"
2025,COM,CB019BUS01,,CB019,BUS01,Bachelor of Commerce,BCom,Actuarial Science,regular,85,"*NB. MAM2010F and MAM2011F are compulsory courses. Students may choose 2 courses from | MAM2012S, MAM2013S or MAM2014S. | Bachelor of Commerce in ACTUARIAL SCIENCE specialising in QUANTITATIVE | FINANCE"
2025,COM,CB019BUS09,,CB019,BUS09,Bachelor of Commerce,BCom,Actuarial Science: Quantitative Finance,regular,86,"*NB. MAM2010F and MAM2011F are compulsory courses. Students may choose 2 courses from | MAM2012S, MAM2013S or MAM2014S. | Bachelor of Commerce specialising in FINANCIAL ACCOUNTING: GENERAL | ACCOUNTING"
2025,COM,CB001ACC08,,CB001,ACC08,Bachelor of Commerce,BCom,Financial Accounting: General Accounting,regular,87,*Students who registered prior to 2024 are required to complete CML1004S in year 2. | Bachelor of Commerce specialising in FINANCIAL ACCOUNTING: CHARTERED | ACCOUNTANT
2025,COM,CB001ACC04,,CB001,ACC04,Bachelor of Commerce,BCom,Financial Accounting: Chartered Accountant,regular,88,*Students who registered prior to 2024 are required to complete CML1004S in year 2. | Bachelor of Commerce specialising in FINANCIAL ACCOUNTING: ACCOUNTING with | LAW*
