year,faculty,plan_code,degree_abbrev,specialisation,variant,study_year,credits_ideal,credits_unresolved_slots,credits_stated,stated_is_minimum,credit_delta,fee_ideal_zar,fee_estimated_component_zar,fee_slots_missing,fee_published_zar,fee_published_label,fee_match_method,fee_delta_pct
2021,COM,CB015BUS08,,,extended,3,126,0,126,False,0,42260,0,2,,,unmatched,
2021,COM,CB015BUS08,,,extended,4,138,0,120,False,18,63510,8600,0,,,unmatched,
2021,COM,CB015BUS08,,,extended,5,156,0,156,False,0,80210,0,0,,,unmatched,
2021,COM,CB015BUS22,,,extended,1,113,0,113,False,0,50550,0,0,,,unmatched,
2021,COM,CB015BUS22,,,extended,2,126,0,108,False,18,59640,0,0,,,unmatched,
2021,COM,CB015BUS22,,,extended,3,186,0,168,False,18,87410,0,0,,,unmatched,
2021,COM,CB015BUS22,,,extended,4,192,0,180,True,12,89150,0,0,,,unmatched,
2021,COM,CB015BUS22,,,extended,5,178,0,178,False,0,71030,0,0,,,unmatched,
2021,COM,CB015CSC05,,,extended,1,113,0,113,False,0,51040,0,0,,,unmatched,
2021,COM,CB015CSC05,,,extended,2,126,0,126,False,0,58920,0,0,,,unmatched,
2021,COM,CB015CSC05,,,extended,3,126,0,132,False,-6,58980,0,0,,,unmatched,
2021,COM,CB015CSC05,,,extended,4,126,0,126,False,0,59020,0,0,,,unmatched,
2021,COM,CB015CSC05,,,extended,5,166,0,166,False,0,67080,0,0,,,unmatched,
2021,COM,CB015ECO01,,,extended,1,149,0,131,False,18,68490,0,0,,,unmatched,
2021,COM,CB015ECO01,,,extended,2,144,0,126,False,18,68000,0,0,,,unmatched,
2021,COM,CB015ECO01,,,extended,3,138,0,138,False,0,64890,8600,0,,,unmatched,
2021,COM,CB015ECO01,,,extended,4,210,1,90,True,120,99230,0,1,,,unmatched,
2021,COM,CB015ECO01,,,extended,5,156,0,156,False,0,85900,0,0,,,unmatched,
2021,COM,CB015ECO03,,,extended,1,149,0,131,False,18,68490,0,0,,,unmatched,
2021,COM,CB015ECO03,,,extended,2,114,0,114,False,0,54000,0,0,,,unmatched,
2021,COM,CB015ECO03,,,extended,3,144,0,126,False,18,65590,0,0,,,unmatched,
2021,COM,CB015ECO03,,,extended,4,126,0,126,False,0,57220,0,1,,,unmatched,
2021,COM,CB015ECO03,,,extended,5,156,0,166,False,-10,85900,0,0,,,unmatched,
2021,COM,CB015FTX04,,,extended,1,131,0,131,False,0,59150,0,0,,,unmatched,
2021,COM,CB015FTX04,,,extended,2,126,0,126,False,0,59170,0,0,,,unmatched,
2021,COM,CB015FTX04,,,extended,3,168,0,168,False,0,79760,0,0,,,unmatched,
2021,COM,CB015FTX04,,,extended,4,144,0,144,False,0,67880,0,0,,,unmatched,
2021,COM,CB015FTX04,,,extended,5,144,0,144,False,0,68600,0,0,,,unmatched,
2021,COM,CB015FTX05,,,extended,1,131,0,131,False,0,59890,0,0,,,unmatched,
2021,COM,CB015FTX05,,,extended,2,150,0,150,False,0,70460,0,0,,,unmatched,
2021,COM,CB015FTX05,,,extended,3,90,0,90,False,0,42690,8600,0,,,unmatched,
2021,COM,CB015FTX05,,,extended,4,144,0,144,False,0,68210,0,0,,,unmatched,
2021,COM,CB015FTX05,,,extended,5,144,0,144,False,0,68600,0,0,,,unmatched,
2021,COM,CB015INF01,,,extended,1,149,0,131,False,18,67500,0,0,,,unmatched,
2021,COM,CB015INF01,,,extended,2,108,0,108,False,0,51540,0,0,,,unmatched,
2021,COM,CB015INF01,,,extended,3,150,0,150,False,0,71090,0,0,,,unmatched,
2021,COM,CB015INF01,,,extended,4,120,0,120,False,0,60110,0,0,,,unmatched,
2021,COM,CB015INF01,,,extended,5,176,0,176,False,0,78900,0,0,,,unmatched,
2021,COM,CB018BUS01,,,extended,1,113,0,113,False,0,51290,0,0,,,unmatched,
2021,COM,CB018BUS01,,,extended,2,108,0,108,False,0,51290,0,0,,,unmatched,
2021,COM,CB018BUS01,,,extended,3,150,0,150,False,0,70480,0,0,,,unmatched,
2021,COM,CB018BUS01,,,extended,4,180,0,180,False,0,86140,0,0,,,unmatched,
2021,COM,CB018BUS01,,,extended,5,174,0,,False,,73530,0,0,,,unmatched,
2021,COM,CB018BUS09,,,extended,1,113,0,113,False,0,51290,0,0,,,unmatched,
2021,COM,CB018BUS09,,,extended,2,108,0,108,False,0,51290,0,0,,,unmatched,
2021,COM,CB018BUS09,,,extended,3,150,0,150,False,0,70480,0,0,,,unmatched,
2021,COM,CB018BUS09,,,extended,4,198,0,198,False,0,92620,0,0,,,unmatched,
2021,COM,CB018BUS09,,,extended,5,147,0,147,False,0,68510,0,0,,,unmatched,
2021,COM,CB019BUS01,BCom,Actuarial Science,regular,1,185,0,185,False,0,85250,0,0,85250,BCom specialising in Actuarial Science,label_match,0.0
