year,faculty,plan_code,study_year,table_index,stated_total_credits,stated_total_max,is_minimum,source_page
2022,COM,CB001INF11,2,1,162,,False,90
2022,COM,CB001INF11,3,1,150,,False,90
2022,COM,CB001PHI03,1,1,149,,False,91
2022,COM,CB001PHI03,2,1,174,,False,91
2022,COM,CB001PHI03,3,1,168,,False,92
2022,COM,CB003BUS01,1,1,185,,False,37
2022,COM,CB003BUS01,2,1,186,,False,37
2022,COM,CB003BUS01,3,1,180,,False,37
2022,COM,CB003BUS01,4,1,174,,False,37
2022,COM,CB003BUS09,1,1,185,,False,38
2022,COM,CB003BUS09,2,1,186,,False,38
2022,COM,CB003BUS09,3,1,198,,False,38
2022,COM,CB003BUS09,4,1,147,,False,39
2022,COM,CB004BUS07,1,1,167,,False,49
2022,COM,CB004BUS07,2,1,168,,False,49
2022,COM,CB004BUS07,3,1,180,,False,50
2022,COM,CB004BUS07,4,1,180,,False,50
2022,COM,CB004BUS08,1,1,167,,False,50
2022,COM,CB004BUS08,2,1,162,,False,51
2022,COM,CB004BUS08,3,1,180,,False,51
2022,COM,CB004BUS08,4,1,156,,False,51
2022,COM,CB004BUS22,1,1,185,,False,39
2022,COM,CB004BUS22,2,1,186,,False,39
2022,COM,CB004BUS22,3,1,198,,True,40
2022,COM,CB004BUS22,4,1,178,,False,40
2022,COM,CB004CSC05,1,1,149,,False,43
2022,COM,CB004CSC05,2,1,162,,False,43
2022,COM,CB004CSC05,3,1,180,,False,44
2022,COM,CB004CSC05,4,1,160,,False,44
2022,COM,CB004ECO01,1,1,167,,False,46
2022,COM,CB004ECO01,2,1,156,,True,46
2022,COM,CB004ECO01,3,1,162,,False,47
2022,COM,CB004ECO01,4,1,156,,False,47
2022,COM,CB004ECO03,1,1,167,,False,48
2022,COM,CB004ECO03,2,1,168,,False,48
2022,COM,CB004ECO03,3,1,162,,False,48
2022,COM,CB004ECO03,4,1,174,,False,49
2022,COM,CB004FTX04,1,1,167,,False,42
2022,COM,CB004FTX04,2,1,168,,False,42
2022,COM,CB004FTX04,3,1,180,,False,42
2022,COM,CB004FTX04,4,1,162,,False,42
2022,COM,CB004FTX05,1,1,167,,False,41
2022,COM,CB004FTX05,2,1,168,,False,41
2022,COM,CB004FTX05,3,1,180,,False,41
2022,COM,CB004FTX05,4,1,144,,False,41
2022,COM,CB004INF01,1,1,185,,False,45
2022,COM,CB004INF01,2,1,168,,False,45
2022,COM,CB004INF01,3,1,156,,False,45
2022,COM,CB004INF01,4,1,176,,False,45
2022,COM,CB011ACC03,1,1,113,,False,121
2022,COM,CB011ACC03,2,1,126,,False,121
2022,COM,CB011ACC03,3,1,126,,False,121
2022,COM,CB011ACC03,4,1,90,,False,121
2022,COM,CB011ACC04,1,1,131,,False,120
2022,COM,CB011ACC04,2,1,126,,False,120
2022,COM,CB011ACC04,3,1,126,,False,120
2022,COM,CB011ACC04,4,1,108,,False,120
2022,COM,CB011ACC08,1,1,131,,False,119
2022,COM,CB011ACC08,2,1,108,,False,119
2022,COM,CB011ACC08,3,1,90,,False,119
2022,COM,CB011ACC08,4,1,108,,False,119
2022,COM,CB011BUS06,1,1,131,,False,130
2022,COM,CB011BUS06,2,1,108,,False,130
2022,COM,CB011BUS06,3,1,132,,False,131
2022,COM,CB011BUS06,4,1,126,,False,131
2022,COM,CB011ECO02,1,1,113,,False,123
2022,COM,CB011ECO02,2,1,108,,False,123
2022,COM,CB011ECO02,3,1,132,,False,124
2022,COM,CB011ECO02,4,1,108,,False,124
2022,COM,CB011ECO03,1,1,131,,False,126
2022,COM,CB011ECO03,2,1,108,,False,126
2022,COM,CB011ECO03,3,1,108,,False,126
2022,COM,CB011ECO03,4,1,198,,False,127
2022,COM,CB011ECO04,1,1,113,,False,124
2022,COM,CB011ECO04,2,1,108,,False,125
2022,COM,CB011ECO04,3,1,144,,True,125
2022,COM,CB011ECO04,4,1,162,,False,126
2022,COM,CB011INF01,1,1,113,,False,127
2022,COM,CB011INF01,2,1,108,,False,127
2022,COM,CB011INF01,3,1,120,,False,127
2022,COM,CB011INF01,4,1,108,,False,128
2022,COM,CB011INF06,1,1,113,,False,128
2022,COM,CB011INF06,2,1,108,,False,129
2022,COM,CB011INF06,3,1,108,,False,129
2022,COM,CB011INF06,4,1,126,,False,129
2022,COM,CB011INF11,1,1,131,,False,129
2022,COM,CB011INF11,2,1,108,,False,129
2022,COM,CB011INF11,3,1,126,,False,130
2022,COM,CB011INF11,4,1,114,,False,130
2022,COM,CB011PHI03,1,1,113,,False,122
2022,COM,CB011PHI03,2,1,108,,False,122
2022,COM,CB011PHI03,3,1,102,,False,122
